Threads count = 4

N\W	5000	6000	7000	8000	9000	10000	11000	12000	13000	14000	15000	16000	17000	18000	19000	20000	21000	22000	23000	24000	25000	26000	27000	28000	29000	30000	31000	32000	33000	34000	35000	36000	37000	38000	39000	40000	
1000	0.044	0.045	0.051	0.074	0.070	0.072	0.090	0.084	0.101	0.103	0.118	0.186	0.118	0.127	0.140	0.148	0.152	0.165	0.165	0.174	0.187	0.229	0.242	0.268	0.220	0.242	0.243	0.288	0.308	0.319	0.356	0.328	0.367	0.387	0.348	0.379	
2000	0.114	0.145	0.164	0.189	0.209	0.226	0.191	0.181	0.196	0.212	0.223	0.237	0.274	0.293	0.349	0.378	0.392	0.401	0.501	0.506	0.615	0.422	0.426	0.434	0.416	0.450	0.446	0.438	0.510	0.610	0.618	0.487	0.576	0.722	0.533	0.553	
3000	0.097	0.133	0.150	0.191	0.369	0.242	0.269	0.548	0.287	0.499	0.323	0.497	0.426	0.490	0.554	0.466	0.638	0.636	0.660	0.659	0.670	0.713	0.675	0.946	0.782	0.709	0.817	0.891	0.715	0.706	0.722	0.745	1.128	0.943	0.809	0.954	
4000	0.125	0.204	0.362	0.303	0.309	0.352	0.350	0.367	0.407	0.440	0.922	1.019	0.515	0.550	0.543	0.559	1.037	0.893	0.642	0.655	0.732	0.747	0.767	0.776	0.832	0.824	0.843	0.870	0.910	0.929	0.982	0.971	1.010	1.068	1.061	1.099	
5000	0.166	0.239	0.241	0.302	0.318	0.368	0.392	0.437	0.452	0.487	0.538	0.543	0.573	0.621	0.666	0.725	0.725	0.748	0.791	0.806	0.866	0.925	0.963	0.947	1.122	1.012	1.174	1.217	1.202	1.162	1.188	1.212	1.252	1.285	1.331	1.375	
6000	0.206	0.278	0.284	0.343	0.414	0.419	0.462	0.507	0.543	0.596	0.781	0.695	0.698	0.753	0.787	0.816	0.855	0.898	0.954	1.004	1.313	1.219	1.125	1.145	1.163	1.255	1.279	1.330	1.366	1.396	1.565	1.539	1.605	1.608	1.631	1.649	
7000	0.290	0.374	0.357	0.408	0.460	0.601	0.572	0.595	0.657	0.706	0.771	0.797	0.867	1.550	1.214	0.964	1.082	1.062	1.138	1.165	1.233	1.244	1.287	1.361	1.422	1.553	1.503	1.556	1.813	1.805	2.220	1.744	1.826	1.869	1.900	1.972	
8000	0.276	0.409	0.441	0.468	0.508	0.566	0.662	0.747	0.736	0.773	0.884	0.929	0.940	0.999	1.157	1.142	1.160	1.254	1.274	1.340	1.402	1.407	1.527	1.540	1.633	1.626	1.733	1.750	1.814	1.874	2.103	1.987	2.103	2.118	2.208	2.252	
9000	0.290	0.444	0.510	0.532	0.560	0.636	0.715	0.750	0.815	0.896	0.929	1.010	1.059	1.147	1.179	1.307	1.332	1.402	1.436	1.504	1.580	1.657	1.677	1.739	1.864	1.867	1.952	2.034	2.243	2.172	2.223	2.379	2.439	2.383	2.620	2.860	
10000	0.521	0.739	0.803	0.842	0.875	1.035	1.145	1.220	1.310	1.007	1.063	1.125	1.195	1.282	1.351	1.406	1.463	1.517	1.595	1.712	1.818	1.801	1.918	1.976	2.075	2.131	2.197	2.279	2.514	2.523	2.511	2.579	2.679	2.663	2.826	2.844	
