Threads count = 4

N\W	5000	10000	15000	20000	25000	30000	35000	40000	
1000	0.041	0.080	0.111	0.149	0.173	0.216	0.248	0.330	
2000	0.079	0.149	0.220	0.283	0.352	0.416	0.477	0.541	
3000	0.113	0.227	0.323	0.422	0.518	0.617	0.717	0.804	
4000	0.165	0.283	0.416	0.555	0.688	0.816	0.997	1.071	
5000	0.200	0.362	0.596	0.897	0.881	1.096	1.345	2.015	
6000	0.275	0.437	0.641	0.866	1.153	1.308	1.478	1.682	
7000	0.309	0.527	0.768	1.077	1.255	1.480	2.053	2.256	
8000	0.293	0.708	1.124	1.335	1.469	1.921	2.088	2.656	
9000	0.422	0.806	1.002	1.308	1.594	1.876	2.229	2.549	
10000	0.390	0.747	1.087	1.513	1.826	2.206	2.639	2.992	
